,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
38,0.457,0.909,0,-9.451,1,0.0317,0.0016,0.000276,0.135,0.755,115.998,156667,4,68
39,0.394,0.133,7,-19.88,1,0.0513,0.793,0.102,0.166,0.414,116.711,164973,4,45
40,0.746,0.828,0,-6.568,1,0.0409,0.113,0.0028,0.0635,0.31,104.974,187500,4,24
41,0.525,0.464,7,-9.46,0,0.0323,0.324,0.318,0.361,0.273,103.043,436320,4,11
42,0.59,0.294,9,-8.125,1,0.0654,0.854,0.0,0.0873,0.461,87.895,211364,4,71
43,0.603,0.494,2,-10.27,1,0.0301,0.428,0.000171,0.0894,0.729,147.814,214960,4,57
44,0.309,0.407,7,-6.037,1,0.0335,0.659,0.0,0.124,0.308,80.938,213853,4,41
45,0.175,0.212,6,-14.073,1,0.0374,0.85,0.86,0.0979,0.128,132.026,277853,3,52
46,0.258,0.179,2,-13.822,0,0.0454,0.876,4.49e-05,0.0709,0.446,72.795,184875,3,57
47,0.49,0.938,1,-3.916,1,0.129,0.00234,2.17e-05,0.186,0.437,196.143,274160,4,60
48,0.566,0.931,2,-4.292,0,0.0915,0.00842,0.0,0.323,0.491,103.45,209747,4,47
49,0.4,0.838,3,-5.657,1,0.0358,0.23,0.0326,0.0932,0.685,181.974,221667,4,34
50,0.477,0.961,10,-5.786,0,0.0558,4.58e-05,0.00168,0.129,0.515,94.993,237000,4,36
51,0.704,0.917,1,-7.902,0,0.122,9.12e-05,0.00546,0.0459,0.336,110.606,283947,4,32
52,0.562,0.647,7,-6.178,1,0.0324,0.244,0.0,0.271,0.628,167.896,213213,4,38
53,0.551,0.293,2,-12.503,1,0.0272,0.486,0.000273,0.0864,0.322,106.798,150640,4,71
54,0.503,0.881,0,-4.502,0,0.0827,0.0261,0.0,0.482,0.597,101.038,187880,4,63
55,0.109,0.0693,8,-21.196,1,0.0388,0.986,0.931,0.13,0.0411,58.869,327573,4,46
56,0.577,0.495,2,-14.143,0,0.0324,0.718,0.967,0.135,0.837,90.041,210113,4,9
57,0.587,0.573,4,-8.073,1,0.0383,0.0208,0.315,0.199,0.686,137.315,129120,4,38
58,0.226,0.891,9,-5.531,0,0.0702,0.000631,9.75e-06,0.225,0.511,167.876,237680,4,57
59,0.49,0.362,5,-12.047,0,0.0382,0.762,1.14e-05,0.0671,0.292,108.866,199227,4,68
60,0.412,0.384,8,-6.977,1,0.0442,0.816,0.0,0.104,0.217,82.158,252680,4,48
61,0.374,0.351,2,-10.522,1,0.044,0.832,0.71,0.103,0.0852,82.56,168676,4,52
62,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.606,228667,4,66
63,0.487,0.987,2,-3.313,1,0.0779,8.58e-06,2.98e-05,0.341,0.309,95.037,253920,4,33
64,0.527,0.636,5,-12.888,0,0.0347,0.0599,0.843,0.204,0.607,83.101,334467,4,60
65,0.358,0.893,4,-7.486,0,0.12,0.0222,0.0524,0.126,0.262,174.238,293653,4,68
66,0.155,0.0612,7,-21.803,1,0.0439,0.941,0.868,0.0978,0.0361,91.989,179493,3,44
67,0.614,0.513,10,-5.442,1,0.0291,0.482,0.0,0.114,0.336,86.005,171680,4,61
68,0.513,0.975,1,-4.754,0,0.116,1.46e-05,0.626,0.245,0.143,102.465,274314,4,51
69,0.421,0.598,4,-6.078,0,0.0487,0.0349,4.8e-06,0.416,0.778,157.927,136960,4,39
70,0.559,0.732,1,-8.563,1,0.304,0.138,1.31e-05,0.119,0.639,200.076,157707,4,30
71,0.569,0.732,1,-7.678,1,0.0277,0.0357,0.963,0.214,0.732,89.99,199195,4,13
72,0.562,0.383,6,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,206760,3,71
73,0.423,0.896,4,-9.555,1,0.0368,0.0914,0.668,0.35,0.732,99.156,160840,4,41
74,0.643,0.738,10,-3.708,1,0.0332,0.528,0.0,0.124,0.369,119.927,166880,4,51
75,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427,3,67
76,0.432,0.917,2,-7.067,1,0.12,0.111,3.48e-06,0.112,0.45,70.947,178067,4,38
77,0.329,0.926,10,-3.966,0,0.141,1.68e-05,0.746,0.0816,0.464,185.124,234834,4,45
78,0.312,0.92,5,-5.729,0,0.0662,8.39e-06,0.000273,0.322,0.369,105.305,249067,4,51
79,0.551,0.86,7,-7.839,1,0.0796,0.262,4.57e-06,0.0558,0.723,136.921,141507,4,67
80,0.424,0.873,9,-6.13,0,0.0434,0.00451,0.0202,0.109,0.82,157.403,208041,4,38
81,0.526,0.965,11,-5.697,1,0.0698,0.000657,0.514,0.279,0.392,126.006,319067,4,34
82,0.573,0.91,4,-7.516,1,0.0479,0.00263,0.0836,0.1,0.778,107.868,264067,4,51
83,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,644273,4,58
84,0.537,0.791,6,-7.051,1,0.145,0.122,3.03e-05,0.205,0.889,142.354,255040,4,48
85,0.384,0.939,0,-5.367,0,0.0996,2.49e-05,0.0163,0.0684,0.117,87.46,268284,4,40
86,0.365,0.977,0,-4.312,1,0.217,3.92e-05,0.0494,0.44,0.238,161.94,199741,4,45
87,0.804,0.696,7,-7.47,1,0.0899,0.00877,0.000985,0.314,0.657,95.721,170907,4,73
88,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,300840,4,89
89,0.388,0.904,0,-8.474,0,0.0511,1.82e-05,0.278,0.198,0.281,117.928,286525,4,39
90,0.571,0.818,0,-8.277,1,0.0337,0.00706,0.000181,0.0877,0.773,141.464,239213,4,64
91,0.213,0.866,0,-7.612,1,0.0488,0.012,0.677,0.101,0.487,145.944,254746,4,35
92,0.363,0.156,4,-19.799,0,0.0833,0.98,0.92,0.106,0.0389,185.623,369376,4,10
93,0.458,0.845,2,-4.384,0,0.0422,0.000948,1.99e-06,0.359,0.175,119.994,238053,4,58
94,0.426,0.997,9,-3.235,0,0.229,2.17e-05,0.122,0.037,0.0381,150.587,175114,4,45
95,0.399,0.993,4,-2.283,0,0.202,0.0113,4.75e-05,0.106,0.0385,140.086,269143,4,39
96,0.552,0.449,7,-6.986,1,0.0375,0.362,0.0,0.0945,0.314,149.919,201533,4,47
97,0.263,0.991,7,-3.578,1,0.483,0.000453,0.000134,0.11,0.036,87.883,212813,1,41
98,0.275,0.882,11,-7.654,1,0.068,3.64e-05,0.00289,0.117,0.193,159.854,217152,3,33
99,0.523,0.986,10,-3.456,0,0.136,0.00114,0.0,0.376,0.237,125.034,248200,4,45
100,0.66,0.485,2,-8.101,1,0.0258,0.242,0.0102,0.0585,0.829,99.828,302520,4,58
101,0.451,0.951,1,-3.754,1,0.0645,0.00038,2.39e-06,0.261,0.442,162.065,213933,4,65
102,0.537,0.699,10,-6.615,1,0.0399,0.237,2.27e-05,0.114,0.814,84.905,250627,4,61
103,0.354,0.982,4,-3.026,0,0.168,0.000237,0.000294,0.204,0.194,143.772,252613,4,79
104,0.492,0.896,4,-5.819,0,0.117,0.000172,2.78e-06,0.189,0.534,184.981,285570,4,72
105,0.607,0.543,5,-10.614,1,0.0273,0.355,0.0355,0.128,0.547,82.017,288373,4,32
106,0.453,0.788,9,-9.23,0,0.0341,0.00438,0.000121,0.131,0.55,78.504,139160,4,26
107,0.62,0.593,7,-10.985,1,0.0281,0.294,0.0,0.0749,0.833,109.044,234907,4,54
108,0.576,0.738,11,-8.122,1,0.0353,0.000387,0.00131,0.13,0.675,168.132,238400,4,62
109,0.207,0.0591,10,-27.056,1,0.0504,0.786,0.911,0.119,0.171,115.151,176253,4,41
110,0.458,0.939,5,-3.702,1,0.115,0.016,0.0,0.288,0.447,168.158,204440,4,51
111,0.429,0.914,7,-9.594,1,0.0505,0.0321,9.26e-05,0.436,0.685,155.588,221507,4,52
112,0.82,0.443,6,-8.951,1,0.0601,0.829,0.0386,0.101,0.87,95.09,160529,4,28
113,0.301,0.957,6,-5.233,1,0.111,0.000379,0.166,0.0948,0.266,119.995,286735,4,39
114,0.545,0.612,4,-5.794,1,0.0236,0.135,0.0,0.0862,0.171,89.996,284987,4,32
115,0.568,0.636,4,-8.862,1,0.0297,0.431,3.02e-06,0.492,0.71,124.37,104507,4,46
116,0.603,0.933,1,-3.358,1,0.171,0.00591,0.0,0.206,0.709,96.306,213760,4,75
117,0.569,0.933,8,-5.026,1,0.0604,0.0107,0.00417,0.0144,0.818,127.476,264933,4,36
118,0.221,0.923,10,-5.503,0,0.155,1.25e-05,0.396,0.603,0.141,176.046,230074,4,38
119,0.252,0.0578,1,-26.184,1,0.0518,0.953,0.0163,0.0721,0.0391,108.013,141707,4,56
120,0.264,0.812,4,-5.651,1,0.031,1.35e-05,0.108,0.0962,0.458,94.095,343893,4,56
121,0.472,0.934,2,-3.842,0,0.1,0.000216,0.00371,0.402,0.387,82.079,244787,4,47
122,0.511,0.983,6,-3.702,0,0.141,0.00177,0.169,0.504,0.333,128.315,254560,4,42
123,0.226,0.585,2,-9.965,1,0.0343,0.128,0.0233,0.112,0.655,180.495,234600,3,47
124,0.701,0.878,7,-7.911,1,0.035,2.79e-05,0.522,0.0608,0.875,130.512,251973,4,52
125,0.372,0.985,6,-2.874,1,0.182,5.57e-05,0.00036,0.152,0.369,179.911,231959,3,49
126,0.454,0.246,9,-9.507,1,0.0309,0.858,0.0,0.104,0.466,78.999,242117,4,32
127,0.52,0.867,6,-6.573,0,0.0371,0.000522,4.5e-05,0.302,0.229,95.993,267500,4,37
128,0.593,0.702,0,-12.668,1,0.0409,0.002,8.38e-05,0.19,0.901,142.006,238133,4,55
129,0.156,0.911,7,-5.196,1,0.0556,0.000266,0.0307,0.334,0.149,94.677,338000,4,37
130,0.43,0.0788,1,-21.539,0,0.0314,0.995,0.909,0.099,0.123,98.35,357960,4,31
131,0.293,0.96,1,-5.094,1,0.121,7.49e-05,0.000196,0.0954,0.177,98.059,312468,4,47
132,0.588,0.881,0,-4.62,1,0.0666,0.000252,0.0,0.326,0.709,129.947,209093,4,68
133,0.589,0.89,4,-3.719,0,0.0603,0.000481,0.00082,0.201,0.692,90.598,199907,4,79
134,0.681,0.826,5,-7.746,0,0.0332,0.207,0.439,0.107,0.561,144.875,282387,4,56
135,0.46,0.935,0,-6.217,0,0.0709,0.00123,3.07e-06,0.0722,0.392,94.99,213474,4,35
136,0.199,0.0447,4,-24.456,0,0.0371,0.917,0.936,0.112,0.0393,86.299,180180,4,39
