,Playlist,Followers,Songs,Genre 1,Genre 2,URI,Song URI,Popularity,Artist Name,Song Name
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:7EG5uI3JPSMaGgexmhsyzb,38,7ru7h,Last First Date
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:5NZ86YaW48jgWG0QoEujpw,44,Bearings,Sway
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:4HtoILxBA3ICgzUeWVr6x8,37,Magnolia Park,Back Home
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:3DVlE3PXyYSTZg99ZwaV3A,42,LØLØ,u look stupid
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:2sYl3t3Rrnrs7mDbDHnIPg,36,Cold Years,32
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:6kUqtwGftq5d2kzlH3Eh9t,40,Knuckle Puck,Gasoline
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:7kTg2JxsgHLWjavcl1dPEf,37,Bearings,Shaking Your Mind
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:0qwoBdMnysN7dDT6tK3fcE,51,Movements,Panic
97,Pop Punk's Not Dead,"523,146",80,Rock,Pop,spotify:playlist:37i9dQZF1DX1ewVhAJ17m4,spotify:track:1UtvJgyt2sviZ5J3EGyLWN,39,Chad Tepper,dont wanna die
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:54NBD72JXFXzrodbQBSzWh,75,Tyga,Sunshine
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:64pUytZWfCpeeMBN0XAadF,73,Chris Brown,Psychic
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:1hs54MGy1J69I52GvzsrbB,66,Jack Harlow,Poison (feat. Lil Wayne)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:0g2Bbgy7P41pFjMWJuzsf4,87,DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:59nOXPmaKlBfGMDeOVGrIK,89,Future,WAIT FOR U (feat. Drake & Tems)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:4rmVZajAF7PkrCagGPHbqa,84,Drake,Sticky
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:3K9IrLs25jHtvWjAAFAfav,70,Diddy,Gotta Move On (feat. Bryson Tiller)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:0hquQWY3xvYqN4qtiquniF,90,Doja Cat,Vegas (From the Original Motion Picture Soundtrack ELVIS)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:1KYxtEzzTOVHceP30W0QV7,61,DaBaby,TOUGH SKIN
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:1NtyeXryylf8HWXnxVTD3v,75,Rod Wave,Yungen (feat. Jack Harlow)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:7DwcBgdzqhFJltEaV1XF81,82,Post Malone,Cooped Up (with Roddy Ricch)
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:2pY5ZVUFscLWhOonrR4knh,56,Vory,Do Not Disturb ft. NAV and Yung Bleu
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:2g6tReTlM2Akp41g0HaeXN,83,Kendrick Lamar,Die Hard
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:557DLyFeg06jCV2cpT005C,72,YG,Toxic
98,Signed XOXO,"1,912,124",98,R&B,Pop,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,spotify:track:5hHvFrMnwic82WwRLr4WY0,76,Megan Thee Stallion,Her
